ANIMAL TYPE,VIC,NSW,SA,TAS,QLD,ACT,WA,NT,TOTAL
Mouse,"521,636","447,033",,"11,149",25,,"491,994",,"1,471,837"
Rat,"20,859","43,565",,697,,,"59,351",,"124,472"
Guinea Pig,"4,020","3,767",,,,,866,,"8,653"
Rabbit,"1,680","2,972",,,,,116,,"4,768"
Other Lab Animals,"3,654",,,,,,,,"3,654"
Cat,538,881,,5,975,,188,,"2,587"
Dog,"4,469","3,703",,377,"1,986",,833,,"11,368"
Other Domestic,"2,149","1,159",,,972,,27,,"4,307"
Sheep,"86,719","72,204",,247,"5,439",,"107,499",,"272,108"
Cattle,"27,362","24,926",,"3,972","34,344",,"29,563",,"120,167"
Pig,"4,699","67,463",,,678,,"5,543",,"78,383"
Horse/Donkey,551,"1,958",,600,624,,267,,"4,000"
Other Stock Animals,"1,629",572,,,,,9,,"2,210"
Native Mammals,"9,802","29,220",,"20,830","470,222",,"1,222,724",,"1,752,798"
Exotic ‘feral’ Animals,"4,266","5,338",,"72,618","12,022",,"55,622",,"149,866"
Primates,227,38,,,,,7,,272
Domestic Fowl,"90,488","96,235",,398,"12,094,107",,575,,"12,281,803"
Other Birds,"58,706","349,642",,"42,360","286,399",,"152,000",,"889,107"
Reptiles,"3,325","17,568",,"1,282","73,474",,"44,934",,"140,583"
Fish,"666,089","1,423,932",,"117,264","307,674",,"185,681",,"2,700,640"
Amphibians,"39,146","33,093",,23,"7,857",,"9,597",,"89,716"
Other Aquatic Animals,"19,326",,,"16,564","1,943",,"9,276",,"47,109"
Other,34,21,,,,,6,,61
TOTALS,"1,571,374","2,625,290",,"288,386","13,298,741",,"2,376,678",,"20,160,469"